title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist
abcdefu,GAYLE,['modern alternative pop'],82,93,0.695,0.54,4,-5.692,1,0.299,0,0.367,0.415,121.932,168602,0
I Love You So,The Walters,['chicago indie'],78,89,0.575,0.648,10,-4.891,1,0.583,0,0.115,0.466,75.977,160240,0
Sweater Weather,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",89,89,0.612,0.807,10,-2.81,1,0.0495,0.0177,0.101,0.398,124.053,240400,0
Happier Than Ever,Billie Eilish,"['art pop', 'electropop', 'pop']",93,88,0.332,0.225,0,-8.697,1,0.767,0.00349,0.128,0.297,81.055,298899,0
My Universe,Coldplay,"['permanent wave', 'pop']",92,87,0.588,0.701,9,-6.39,1,0.00813,0,0.2,0.443,104.988,228000,0
Yellow,Coldplay,"['permanent wave', 'pop']",92,87,0.429,0.661,11,-7.227,1,0.00239,0.000121,0.234,0.285,173.372,266773,0
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",87,86,0.761,0.525,11,-6.9,1,0.44,6.70E-06,0.0921,0.531,80.87,238805,0
favorite crime,Olivia Rodrigo,['pop'],91,85,0.369,0.272,9,-10.497,1,0.866,0,0.147,0.218,172.929,152667,0
"jealousy, jealousy",Olivia Rodrigo,['pop'],91,85,0.695,0.575,10,-6.334,0,0.198,0,0.0614,0.699,163.929,173160,0
Adore You,Harry Styles,['pop'],93,84,0.676,0.771,8,-3.675,1,0.0237,7.00E-06,0.102,0.569,99.048,207133,0
Happier Than Ever - Edit,Billie Eilish,"['art pop', 'electropop', 'pop']",93,84,0.334,0.599,0,-5.742,1,0.0468,0.000392,0.205,0.127,161.74,151444,0
Why'd You Only Call Me When You're High?,Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",88,84,0.691,0.631,2,-6.478,1,0.0483,1.13E-05,0.104,0.8,92.004,161124,0
The Scientist,Coldplay,"['permanent wave', 'pop']",92,83,0.557,0.442,5,-7.224,1,0.731,1.46E-05,0.11,0.213,146.277,309600,0
Hymn for the Weekend,Coldplay,"['permanent wave', 'pop']",92,82,0.491,0.693,0,-6.487,0,0.211,6.92E-06,0.325,0.412,90.027,258267,0
Still Don't Know My Name,Labrinth,"['indie poptimism', 'pop']",88,82,0.316,0.63,5,-5.963,1,0.471,0.262,0.205,0.313,89.643,153294,0
we fell in love in october,girl in red,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",80,82,0.566,0.366,7,-12.808,1,0.113,0.181,0.155,0.237,129.959,184154,0
505,Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",88,81,0.52,0.852,0,-5.866,1,0.00237,5.79E-05,0.0733,0.234,140.267,253587,0
Electric Love,BØRNS,"['modern rock', 'pop']",72,81,0.611,0.797,6,-7.627,0,0.00543,0.00137,0.26,0.518,120.041,218107,0
This Side of Paradise,Coyote Theory,[],69,81,0.306,0.664,9,-6.07,1,0.432,7.50E-06,0.135,0.321,158.283,242010,0
Umbrella,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",92,81,0.583,0.829,1,-4.603,1,0.00864,0,0.0426,0.575,174.028,275987,0
Wildest Dreams (Taylor's Version),Taylor Swift,['pop'],98,81,0.583,0.67,8,-7.289,1,0.0374,0.0001,0.126,0.498,140.061,220433,0
Doin' Time,Lana Del Rey,"['art pop', 'pop']",89,80,0.641,0.559,7,-11.132,0,0.404,0.00402,0.0937,0.523,144.982,202193,0
Line Without a Hook,Ricky Montgomery,"['indie pop', 'la indie', 'pop']",75,80,0.432,0.652,8,-4.969,1,0.262,0,0.258,0.507,190.028,249587,0
Are You Bored Yet? (feat. Clairo),Wallows,"['indie pop', 'modern rock', 'pop']",77,79,0.682,0.683,8,-6.444,0,0.156,2.32E-05,0.273,0.64,120.023,178000,0
Brooklyn Baby,Lana Del Rey,"['art pop', 'pop']",89,79,0.404,0.664,1,-6.698,1,0.542,0.00402,0.11,0.0949,107.747,351640,0
Paper Rings,Taylor Swift,['pop'],98,79,0.811,0.719,9,-6.553,1,0.0129,1.36E-05,0.0742,0.865,103.979,222400,0
Paper Rings,Taylor Swift,['pop'],98,79,0.811,0.719,9,-6.553,1,0.0129,1.36E-05,0.0742,0.865,103.979,222400,0
Tongue Tied,Grouplove,"['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",70,79,0.56,0.936,3,-5.835,1,0.00847,0,0.161,0.371,112.96,218013,0
Cigarette Daydreams,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,78,0.636,0.676,2,-3.442,1,0.0807,0,0.0831,0.273,113.98,208760,0
Cruel Summer,Taylor Swift,['pop'],98,78,0.552,0.702,9,-5.707,1,0.117,2.06E-05,0.105,0.564,169.994,178427,0
Dead To Me,Kali Uchis,"['colombian pop', 'dance pop', 'pop', 'r&b']",85,78,0.675,0.761,4,-4.469,0,0.432,0,0.102,0.428,119.001,199506,0
exile (feat. Bon Iver),Taylor Swift,['pop'],98,78,0.298,0.38,6,-8.426,1,0.778,5.62E-05,0.11,0.152,75.602,285634,0
Fine Line,Harry Styles,['pop'],93,78,0.306,0.347,2,-8.5,1,0.172,0.00013,0.0485,0.0511,120.996,377960,0
Mr Loverman,Ricky Montgomery,"['indie pop', 'la indie', 'pop']",75,78,0.639,0.526,0,-6.697,1,0.245,2.43E-05,0.25,0.488,130.033,216880,0
People Watching,Conan Gray,"['bedroom pop', 'pop']",83,78,0.53,0.593,5,-7.286,1,0.385,0,0.314,0.538,125.723,158537,0
august,Taylor Swift,['pop'],98,77,0.532,0.623,5,-9.208,1,0.538,7.28E-05,0.0925,0.403,89.937,261923,0
august,Taylor Swift,['pop'],98,77,0.532,0.623,5,-9.208,1,0.538,7.28E-05,0.0925,0.403,89.937,261923,0
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,"['dance pop', 'pop rap']",74,77,0.72,0.744,1,-6.938,0,0.237,0,0.255,0.619,78.953,243773,0
Rules,Doja Cat,"['dance pop', 'pop']",94,77,0.651,0.724,7,-5.457,1,0.172,0,0.13,0.686,144.146,187040,0
Afraid,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",89,76,0.464,0.701,6,-5.693,0,0.00892,0.309,0.335,0.356,83.996,251187,0
Astronomy,Conan Gray,"['bedroom pop', 'pop']",83,76,0.471,0.335,4,-8.767,0,0.593,2.11E-05,0.297,0.111,145.252,243907,0
champagne problems,Taylor Swift,['pop'],98,76,0.462,0.24,0,-12.077,1,0.92,0,0.113,0.32,171.319,244000,0
champagne problems,Taylor Swift,['pop'],98,76,0.462,0.24,0,-12.077,1,0.92,0,0.113,0.32,171.319,244000,0
Delicate,Taylor Swift,['pop'],98,76,0.75,0.404,9,-10.178,0,0.216,0.000357,0.0911,0.0499,95.045,232253,0
Getaway Car,Taylor Swift,['pop'],98,76,0.562,0.689,2,-6.745,1,0.00465,2.23E-06,0.0888,0.351,172.054,233627,0
Hot Rod,Dayglow,"['austindie', 'indie pop', 'modern rock']",74,76,0.707,0.767,7,-7.072,1,0.0279,0.000295,0.169,0.832,139.985,204014,0
Wish You Were Sober,Conan Gray,"['bedroom pop', 'pop']",83,76,0.701,0.728,2,-5.226,1,0.0178,0,0.17,0.696,91.071,168880,0
Don’t Blame Me,Taylor Swift,['pop'],98,75,0.615,0.534,9,-6.719,0,0.106,1.76E-05,0.0607,0.193,135.917,236413,0
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],98,75,0.391,0.715,0,-4.516,1,0.167,0,0.183,0.473,149.654,285107,0
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,['pop'],98,75,0.622,0.791,7,-6.106,1,0.00188,3.72E-06,0.083,0.494,115.915,225960,0
Missing Piece,Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']",80,75,0.628,0.877,0,-4.205,1,0.0155,5.97E-06,0.113,0.721,101.992,217408,0
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,['pop'],98,75,0.606,0.377,0,-9.455,1,0.817,0,0.154,0.446,101.96,258813,0
right where you left me - bonus track,Taylor Swift,['pop'],98,75,0.581,0.619,10,-6.524,1,0.769,0.000106,0.117,0.645,137.915,245027,0
right where you left me - bonus track,Taylor Swift,['pop'],98,75,0.581,0.619,10,-6.524,1,0.769,0.000106,0.117,0.645,137.915,245027,0
Stargazing,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",89,75,0.512,0.483,0,-7.798,1,0.00304,0.0011,0.12,0.367,160.009,217027,0
The Way I Loved You (Taylor’s Version),Taylor Swift,['pop'],98,75,0.402,0.732,5,-4.665,1,0.0033,0,0.108,0.472,161.032,243137,0
The Way I Loved You (Taylor’s Version),Taylor Swift,['pop'],98,75,0.402,0.732,5,-4.665,1,0.0033,0,0.108,0.472,161.032,243137,0
All Too Well (Taylor's Version),Taylor Swift,['pop'],98,74,0.44,0.528,0,-7.809,1,0.0171,0.00203,0.234,0.132,185.972,329160,0
